CXSMILES,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
O=C(NCCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,3.82,4.82
CS(=O)(=O)CC[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|,,4.06
C[C@@H](O)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |a:1|,4.35,4.32
N#CC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C1,,4.06
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NN2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",6.3,8.1
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCS(=O)(=O)[C@H]2C1 |&1:15,22|",,4.04
O=C(NCC1=CC(=O)NC2=CC=CC=C12)C1=CN=CC2=CC=CC=C12,4.15,
COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1,,5.04
"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1 |a:7,22|",7.34,7.62
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O |a:7,22|",5.55,6.94
CC1(O)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,4.38,4.62
CCOC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C |&1:4|,8.16,
"CO[C@@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC[C@H]1C |&1:2,20|",4.45,5.07
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=N1 |&1:17|,4.82,4.24
